   86 T=     0. E= -.33252740E+03 F= -.33252838E+03 E0= -.33244408E+03  EK= 0.97832E-03 SP= 0.00E+00 SK= 0.00E+00
   87 T=     0. E= -.33252740E+03 F= -.33252870E+03 E0= -.33244449E+03  EK= 0.13000E-02 SP= 0.00E+00 SK= 0.00E+00
   88 T=     0. E= -.33252740E+03 F= -.33252996E+03 E0= -.33244600E+03  EK= 0.25562E-02 SP= 0.00E+00 SK= 0.00E+00
   89 T=     1. E= -.33252740E+03 F= -.33253216E+03 E0= -.33244860E+03  EK= 0.47594E-02 SP= 0.00E+00 SK= 0.00E+00
   90 T=     1. E= -.33252741E+03 F= -.33253530E+03 E0= -.33245223E+03  EK= 0.78961E-02 SP= 0.00E+00 SK= 0.00E+00
   91 T=     1. E= -.33252742E+03 F= -.33253922E+03 E0= -.33245668E+03  EK= 0.11799E-01 SP= 0.00E+00 SK= 0.00E+00
   92 T=     2. E= -.33252745E+03 F= -.33254357E+03 E0= -.33246156E+03  EK= 0.16124E-01 SP= 0.00E+00 SK= 0.00E+00
   93 T=     3. E= -.33252746E+03 F= -.33254793E+03 E0= -.33246643E+03  EK= 0.20469E-01 SP= 0.00E+00 SK= 0.00E+00
   94 T=     3. E= -.33252745E+03 F= -.33255202E+03 E0= -.33247100E+03  EK= 0.24569E-01 SP= 0.00E+00 SK= 0.00E+00
   95 T=     4. E= -.33252743E+03 F= -.33255583E+03 E0= -.33247524E+03  EK= 0.28399E-01 SP= 0.00E+00 SK= 0.00E+00
   96 T=     4. E= -.33252741E+03 F= -.33255952E+03 E0= -.33247930E+03  EK= 0.32111E-01 SP= 0.00E+00 SK= 0.00E+00
   97 T=     4. E= -.33252740E+03 F= -.33256321E+03 E0= -.33248331E+03  EK= 0.35808E-01 SP= 0.00E+00 SK= 0.00E+00
   98 T=     5. E= -.33252742E+03 F= -.33256675E+03 E0= -.33248711E+03  EK= 0.39332E-01 SP= 0.00E+00 SK= 0.00E+00
   99 T=     5. E= -.33252744E+03 F= -.33256968E+03 E0= -.33249024E+03  EK= 0.42233E-01 SP= 0.00E+00 SK= 0.00E+00
  100 T=     5. E= -.33252745E+03 F= -.33257141E+03 E0= -.33249215E+03  EK= 0.43960E-01 SP= 0.00E+00 SK= 0.00E+00
  101 T=     6. E= -.33252744E+03 F= -.33257159E+03 E0= -.33249248E+03  EK= 0.44153E-01 SP= 0.00E+00 SK= 0.00E+00
  102 T=     5. E= -.33252740E+03 F= -.33257024E+03 E0= -.33249126E+03  EK= 0.42841E-01 SP= 0.00E+00 SK= 0.00E+00
  103 T=     5. E= -.33252735E+03 F= -.33256776E+03 E0= -.33248892E+03  EK= 0.40415E-01 SP= 0.00E+00 SK= 0.00E+00
  104 T=     5. E= -.33252731E+03 F= -.33256469E+03 E0= -.33248598E+03  EK= 0.37377E-01 SP= 0.00E+00 SK= 0.00E+00
  105 T=     4. E= -.33252729E+03 F= -.33256136E+03 E0= -.33248279E+03  EK= 0.34066E-01 SP= 0.00E+00 SK= 0.00E+00
